Root,Dscore,Statistic,Pvalue,AdjPvalue
4,0.9687,8.689,1.83e-18,1.04e-15
7,0.9532,7.973,7.75e-16,4.41e-13
10,0.8137,8.067,3.61e-16,2.05e-13
14,0.9726,8.606,3.78e-18,2.15e-15
14,0.9415,8.326,4.18e-17,2.38e-14
14,0.8362,8.292,5.57e-17,3.17e-14
14,0.9513,8.27,6.71e-17,3.82e-14
14,0.9026,8.194,1.26e-16,7.18e-14
14,0.7705,7.683,7.76e-15,4.42e-12
15,0.9636,8.512,8.56e-18,4.87e-15
15,0.8954,7.981,7.23e-16,4.12e-13
15,0.8952,7.909,1.3e-15,7.39e-13
15,0.8197,7.838,2.28e-15,1.3e-12
15,0.5986,6.288,1.6e-10,9.12e-8
16,1,9.178,2.2e-20,1.25e-17
16,0.9735,8.542,6.6e-18,3.75e-15
16,0.9873,8.235,9e-17,5.12e-14
16,1,8.223,9.94e-17,5.66e-14
17,0.9924,8.776,8.49e-19,4.83e-16
17,0.9289,8.753,1.04e-18,5.89e-16
17,0.9833,8.724,1.35e-18,7.67e-16
17,0.9788,8.596,4.14e-18,2.36e-15
17,0.943,8.356,3.23e-17,1.84e-14
17,0.9772,8.288,5.75e-17,3.27e-14
17,0.9676,8.266,6.95e-17,3.95e-14
17,0.9647,8.254,7.68e-17,4.37e-14
17,1,8.249,8.02e-17,4.56e-14
17,0.9238,8.197,1.23e-16,7.02e-14
17,0.9759,8.123,2.28e-16,1.3e-13
17,0.992,8.09,2.98e-16,1.7e-13
17,0.8499,8.015,5.5e-16,3.13e-13
17,0.8214,7.526,2.62e-14,1.49e-11
17,0.7415,7.273,1.76e-13,1e-10
18,0.9979,8.769,9.01e-19,5.13e-16
18,0.9979,8.586,4.49e-18,2.55e-15
18,1,8.466,1.27e-17,7.22e-15
18,0.9979,8.435,1.66e-17,9.46e-15
18,0.9425,8.356,3.25e-17,1.85e-14
18,0.9188,8.305,5e-17,2.84e-14
18,0.9395,8.004,6.04e-16,3.44e-13
19,0.9758,8.437,1.63e-17,9.26e-15
19,0.9456,8.345,3.56e-17,2.03e-14
19,0.9481,8.313,4.68e-17,2.66e-14
19,0.927,8.293,5.53e-17,3.15e-14
19,0.9712,8.095,2.85e-16,1.62e-13
20,0.9986,8.809,6.32e-19,3.6e-16
20,0.997,8.784,7.88e-19,4.48e-16
20,0.9948,8.756,1.02e-18,5.78e-16
20,0.9635,8.75,1.07e-18,6.07e-16
20,0.9845,8.727,1.3e-18,7.41e-16
20,0.9986,8.666,2.24e-18,1.28e-15
20,0.9897,8.656,2.44e-18,1.39e-15
20,0.9879,8.648,2.61e-18,1.49e-15
20,1,8.648,2.62e-18,1.49e-15
20,1,8.64,2.8e-18,1.59e-15
20,0.997,8.635,2.94e-18,1.67e-15
20,0.9382,8.635,2.94e-18,1.68e-15
20,0.9865,8.633,2.98e-18,1.7e-15
20,1,8.624,3.23e-18,1.84e-15
20,0.9588,8.616,3.48e-18,1.98e-15
20,1,8.614,3.54e-18,2.01e-15
20,0.9953,8.613,3.56e-18,2.02e-15
20,0.9832,8.599,4.02e-18,2.29e-15
20,1,8.588,4.41e-18,2.51e-15
20,0.9986,8.583,4.6e-18,2.62e-15
20,0.9635,8.569,5.21e-18,2.97e-15
20,0.9986,8.564,5.45e-18,3.1e-15
20,0.9958,8.546,6.36e-18,3.62e-15
20,1,8.534,7.09e-18,4.04e-15
20,1,8.532,7.22e-18,4.11e-15
20,1,8.523,7.79e-18,4.43e-15
20,1,8.516,8.25e-18,4.69e-15
20,0.9729,8.513,8.5e-18,4.83e-15
20,0.9986,8.508,8.82e-18,5.02e-15
20,0.9919,8.504,9.14e-18,5.2e-15
20,0.997,8.495,9.91e-18,5.64e-15
20,0.9455,8.485,1.08e-17,6.12e-15
20,0.9441,8.485,1.08e-17,6.12e-15
20,1,8.461,1.33e-17,7.55e-15
