stringId_A,stringId_B
ENSP00000005260,ENSP00000379350
ENSP00000005260,ENSP00000366283
ENSP00000005260,ENSP00000293373
ENSP00000005260,ENSP00000249014
ENSP00000005260,ENSP00000377941
ENSP00000005260,ENSP00000314067
ENSP00000005260,ENSP00000337907
ENSP00000005260,ENSP00000469413
ENSP00000005260,ENSP00000339191
ENSP00000005260,ENSP00000351209
ENSP00000005260,ENSP00000261590
ENSP00000005260,ENSP00000249071
ENSP00000005260,ENSP00000304283
ENSP00000005260,ENSP00000348461
ENSP00000005260,ENSP00000316338
ENSP00000006053,ENSP00000354416
ENSP00000006053,ENSP00000452786
ENSP00000006053,ENSP00000362680
ENSP00000006053,ENSP00000355627
ENSP00000006053,ENSP00000375086
ENSP00000006053,ENSP00000379140
ENSP00000006053,ENSP00000259607
ENSP00000006053,ENSP00000474412
ENSP00000064724,ENSP00000296387
ENSP00000064724,ENSP00000295522
ENSP00000064724,ENSP00000278927
ENSP00000064724,ENSP00000409544
ENSP00000064724,ENSP00000385477
ENSP00000064724,ENSP00000378577
ENSP00000064724,ENSP00000347379
ENSP00000070846,ENSP00000331678
ENSP00000070846,ENSP00000377508
ENSP00000070846,ENSP00000261590
ENSP00000188790,ENSP00000304408
ENSP00000188790,ENSP00000225964
ENSP00000188790,ENSP00000284240
ENSP00000199764,ENSP00000216336
ENSP00000199764,ENSP00000233997
ENSP00000199764,ENSP00000293379
ENSP00000199764,ENSP00000379350
ENSP00000199764,ENSP00000346839
ENSP00000199764,ENSP00000221992
ENSP00000199764,ENSP00000244336
ENSP00000200181,ENSP00000369677
ENSP00000200181,ENSP00000331678
ENSP00000200181,ENSP00000346300
ENSP00000200181,ENSP00000300574
ENSP00000200181,ENSP00000407685
ENSP00000200181,ENSP00000239462
ENSP00000200181,ENSP00000339730
ENSP00000200181,ENSP00000369889
ENSP00000200181,ENSP00000408695
ENSP00000200181,ENSP00000377508
ENSP00000200181,ENSP00000297268
ENSP00000200181,ENSP00000225964
ENSP00000200181,ENSP00000339191
ENSP00000200181,ENSP00000334008
ENSP00000200181,ENSP00000222573
ENSP00000200181,ENSP00000346839
ENSP00000200181,ENSP00000267082
ENSP00000200181,ENSP00000380948
ENSP00000200181,ENSP00000264741
ENSP00000200181,ENSP00000454623
ENSP00000200181,ENSP00000252699
ENSP00000200181,ENSP00000226218
ENSP00000200181,ENSP00000258341
ENSP00000200181,ENSP00000222399
ENSP00000200181,ENSP00000377941
ENSP00000200181,ENSP00000262407
ENSP00000200181,ENSP00000252999
ENSP00000200181,ENSP00000452786
ENSP00000200181,ENSP00000296181
ENSP00000200181,ENSP00000283249
ENSP00000200181,ENSP00000379350
ENSP00000200181,ENSP00000327290
ENSP00000200181,ENSP00000260356
ENSP00000200181,ENSP00000358310
ENSP00000200181,ENSP00000349252
ENSP00000200181,ENSP00000367316
ENSP00000200181,ENSP00000380227
ENSP00000200181,ENSP00000358866
ENSP00000200181,ENSP00000458162
ENSP00000200181,ENSP00000282588
ENSP00000200181,ENSP00000296585
ENSP00000200181,ENSP00000261023
ENSP00000200181,ENSP00000362680
ENSP00000200181,ENSP00000293379
ENSP00000200181,ENSP00000341189
ENSP00000200181,ENSP00000323856
ENSP00000200181,ENSP00000386896
ENSP00000211998,ENSP00000336829
ENSP00000211998,ENSP00000306099
ENSP00000211998,ENSP00000376475
ENSP00000211998,ENSP00000358723
