stringId_A,stringId_B,combined_score
ENSP00000005260,ENSP00000379350,0.4
ENSP00000005260,ENSP00000366283,0.42880000000000007
ENSP00000005260,ENSP00000293373,0.4
ENSP00000005260,ENSP00000376197,0.43000000000000005
ENSP00000005260,ENSP00000249014,0.43600000000000005
ENSP00000005260,ENSP00000377941,0.4
ENSP00000005260,ENSP00000314067,0.4
ENSP00000005260,ENSP00000337907,0.474391
ENSP00000005260,ENSP00000469413,0.44920000000000004
ENSP00000005260,ENSP00000339191,0.45640000000000003
ENSP00000005260,ENSP00000351209,0.503686
ENSP00000005260,ENSP00000261590,0.5626
ENSP00000005260,ENSP00000494750,0.5386
ENSP00000005260,ENSP00000249071,0.6237215
ENSP00000005260,ENSP00000304283,0.6245145000000001
ENSP00000005260,ENSP00000348461,0.6261005
ENSP00000005260,ENSP00000316338,0.8160640000000001
ENSP00000005260,ENSP00000497733,0.584338
ENSP00000006053,ENSP00000354416,0.5245
ENSP00000006053,ENSP00000452786,0.601
ENSP00000006053,ENSP00000362680,0.5955699999999999
ENSP00000006053,ENSP00000355627,0.566307
ENSP00000006053,ENSP00000375086,0.5
ENSP00000006053,ENSP00000379140,0.534
ENSP00000006053,ENSP00000259607,0.5415
ENSP00000006053,ENSP00000474412,0.5365
ENSP00000020945,ENSP00000287820,0.5497175000000001
ENSP00000020945,ENSP00000324806,0.544696
ENSP00000020945,ENSP00000320147,0.5295
ENSP00000020945,ENSP00000244050,0.8088000000000001
ENSP00000020945,ENSP00000383042,0.646
ENSP00000064724,ENSP00000296387,0.65
ENSP00000064724,ENSP00000295522,0.6654
ENSP00000064724,ENSP00000278927,0.66645
ENSP00000064724,ENSP00000409544,0.65
ENSP00000064724,ENSP00000385477,0.6731
ENSP00000064724,ENSP00000378577,0.65
ENSP00000064724,ENSP00000347379,0.66925
ENSP00000064724,ENSP00000348416,0.6647000000000001
ENSP00000070846,ENSP00000331678,0.554
ENSP00000070846,ENSP00000377508,0.696304
ENSP00000070846,ENSP00000261590,0.75136
ENSP00000188790,ENSP00000304408,0.401
ENSP00000188790,ENSP00000225964,0.4610000000000001
ENSP00000188790,ENSP00000284240,0.450592
ENSP00000199764,ENSP00000216336,0.40022800000000003
ENSP00000199764,ENSP00000233997,0.44824600000000003
ENSP00000199764,ENSP00000293379,0.47492920000000005
ENSP00000199764,ENSP00000379350,0.4498
ENSP00000199764,ENSP00000346839,0.4
ENSP00000199764,ENSP00000221992,0.56152
ENSP00000199764,ENSP00000244336,0.9868456
ENSP00000200181,ENSP00000369677,0.5857401000000001
ENSP00000200181,ENSP00000331678,0.4099999999999999
ENSP00000200181,ENSP00000346300,0.66715
ENSP00000200181,ENSP00000300574,0.6647000000000001
ENSP00000200181,ENSP00000407685,0.68045
ENSP00000200181,ENSP00000496959,0.6148558000000001
ENSP00000200181,ENSP00000239462,0.68535
ENSP00000200181,ENSP00000339730,0.6923976000000001
ENSP00000200181,ENSP00000369889,0.6831289
ENSP00000200181,ENSP00000408695,0.6864735000000001
ENSP00000200181,ENSP00000377508,0.589288
ENSP00000200181,ENSP00000297268,0.6831289
ENSP00000200181,ENSP00000225964,0.687779
ENSP00000200181,ENSP00000339191,0.67835
ENSP00000200181,ENSP00000334008,0.7041205
ENSP00000200181,ENSP00000222573,0.74072
ENSP00000200181,ENSP00000346839,0.65
ENSP00000200181,ENSP00000267082,0.7507999999999999
ENSP00000200181,ENSP00000380948,0.7401599999999999
ENSP00000200181,ENSP00000264741,0.625974
ENSP00000200181,ENSP00000454623,0.7655643999999999
ENSP00000200181,ENSP00000252699,0.70118155
ENSP00000200181,ENSP00000226218,0.65
ENSP00000200181,ENSP00000258341,0.70010215
ENSP00000200181,ENSP00000222399,0.7175584
ENSP00000200181,ENSP00000377941,0.6911236000000001
ENSP00000200181,ENSP00000262407,0.625974
ENSP00000200181,ENSP00000252999,0.7237625000000001
ENSP00000200181,ENSP00000452786,0.73876
ENSP00000200181,ENSP00000296181,0.7443599999999999
ENSP00000200181,ENSP00000283249,0.7541599999999999
ENSP00000200181,ENSP00000379350,0.7401599999999999
ENSP00000200181,ENSP00000327290,0.7687894399999999
ENSP00000200181,ENSP00000260356,0.7024989500000001
ENSP00000200181,ENSP00000358310,0.7687894399999999
ENSP00000200181,ENSP00000349252,0.7655643999999999
ENSP00000200181,ENSP00000367316,0.772332
ENSP00000200181,ENSP00000380227,0.772332
ENSP00000200181,ENSP00000358866,0.8030487
ENSP00000200181,ENSP00000458162,0.910906
ENSP00000200181,ENSP00000282588,0.7687894399999999
ENSP00000200181,ENSP00000296585,0.7779684
ENSP00000200181,ENSP00000261023,0.772332
ENSP00000200181,ENSP00000494750,0.910906
ENSP00000200181,ENSP00000362680,0.9122152
ENSP00000200181,ENSP00000293379,0.7740274
ENSP00000200181,ENSP00000341189,0.9390448
ENSP00000200181,ENSP00000315190,0.8597267199999999
ENSP00000200181,ENSP00000497653,0.782743
ENSP00000200181,ENSP00000323856,0.99118
ENSP00000200181,ENSP00000386896,0.9693243
