node,cog_id,root,clade_name
ENSP00000005260,NOG06845,22,Cephalochordata
ENSP00000006053,NOG55152,17,Sauropsida
ENSP00000064724,NOG03800,21,Tunicata
ENSP00000070846,KOG1048,30,Choanoflagellata
ENSP00000188790,COG1506,37,Metamonada
ENSP00000199764,NOG14493,20,Actinopterygii
ENSP00000200181,KOG1226,30,Choanoflagellata
ENSP00000211998,KOG3681,30,Choanoflagellata
ENSP00000212355,NOG09784,23,Ambulacraria
ENSP00000215637,NOG59284,14,Afrotheria
ENSP00000215886,KOG3587,27,Placozoa
ENSP00000215909,KOG3587,27,Placozoa
ENSP00000216037,KOG4005,29,Ctenophora
ENSP00000216241,COG4886,37,Metamonada
ENSP00000216336,COG5640,30,Choanoflagellata
ENSP00000218388,KOG4745,28,Porifera
ENSP00000219022,KOG3545,24,Ecdysozoa
ENSP00000220772,KOG3577,29,Ctenophora
ENSP00000221930,KOG3900,29,Ctenophora
ENSP00000221992,NOG14493,20,Actinopterygii
ENSP00000222399,KOG0994,30,Choanoflagellata
ENSP00000222573,KOG1226,30,Choanoflagellata
ENSP00000223095,COG4826,28,Porifera
ENSP00000225698,KOG4024,29,Ctenophora
ENSP00000225964,KOG3544,34,Discoba
ENSP00000226004,COG2453,37,Metamonada
ENSP00000226218,KOG1565,30,Choanoflagellata
ENSP00000226730,NOG135432,14,Afrotheria
ENSP00000228463,NOG271421,10,Dermoptera
ENSP00000228534,NOG231450,17,Sauropsida
ENSP00000229135,NOG233025,18,Amphibia
ENSP00000231228,NOG18085,19,Coelacanthimorpha
ENSP00000231449,KOG3886,36,SAR
ENSP00000232003,NOG22864,20,Actinopterygii
ENSP00000233154,KOG4226,30,Choanoflagellata
ENSP00000233809,NOG09907,21,Tunicata
ENSP00000233997,COG5640,30,Choanoflagellata
ENSP00000234347,COG5640,30,Choanoflagellata
ENSP00000235310,KOG3186,33,Viridiplantae
ENSP00000236850,NOG03742,20,Actinopterygii
ENSP00000238682,KOG3900,29,Ctenophora
ENSP00000239462,KOG1225,37,Metamonada
ENSP00000242261,KOG4447,26,Cnidaria
ENSP00000244050,KOG2462,28,Porifera
ENSP00000244336,NOG14493,20,Actinopterygii
ENSP00000245451,KOG3900,29,Ctenophora
ENSP00000246792,COG1100,37,Metamonada
ENSP00000247470,NOG270365,20,Actinopterygii
ENSP00000249014,NOG17118,21,Tunicata
ENSP00000249071,COG1100,37,Metamonada
ENSP00000250378,COG5640,30,Choanoflagellata
ENSP00000250448,COG5025,36,SAR
ENSP00000250559,COG1100,37,Metamonada
ENSP00000252483,NOG09962,21,Tunicata
ENSP00000252599,KOG4179,29,Ctenophora
ENSP00000252699,COG5069,36,SAR
ENSP00000252804,KOG2408,33,Viridiplantae
ENSP00000252999,KOG1836,37,Metamonada
ENSP00000253796,NOG29134,20,Actinopterygii
ENSP00000254066,KOG3575,29,Ctenophora
ENSP00000254958,KOG1217,37,Metamonada
